t_s,x_m,z_m,vx,vz,mach,miss_distance_m
0.0,-19991.5,5.0,850.0,0.0,2.4978694642804666,19991.50062526573
0.01,-19983.0,5.0,850.0,0.0,2.4978694642804666,19983.00062553169
0.02,-19974.5,5.0,850.0,0.0,2.4978694642804666,19974.500625797882
0.03,-19966.0,5.0,850.0,0.0,2.4978694642804666,19966.0006260643
0.04,-19957.5,5.0,850.0,0.0,2.4978694642804666,19957.500626330944
0.05,-19949.0,5.0,850.0,0.0,2.4978694642804666,19949.000626597815
0.06,-19940.5,5.0,850.0,0.0,2.4978694642804666,19940.500626864912
0.07,-19932.0,5.0,850.0,0.0,2.4978694642804666,19932.000627132238
0.08,-19923.5,5.0,850.0,0.0,2.4978694642804666,19923.500627399793
0.09,-19915.0,5.0,850.0,0.0,2.4978694642804666,19915.000627667578
0.1,-19906.5,5.0,850.0,0.0,2.4978694642804666,19906.500627935588
0.11,-19898.0,5.0,850.0,0.0,2.4978694642804666,19898.00062820383
0.12,-19889.5,5.0,850.0,0.0,2.4978694642804666,19889.5006284723
0.13,-19881.0,5.0,850.0,0.0,2.4978694642804666,19881.000628741
0.14,-19872.5,5.0,850.0,0.0,2.4978694642804666,19872.50062900993
0.15,-19864.0,5.0,850.0,0.0,2.4978694642804666,19864.00062927909
0.16,-19855.5,5.0,850.0,0.0,2.4978694642804666,19855.500629548478
0.17,-19847.0,5.0,850.0,0.0,2.4978694642804666,19847.0006298181
0.18,-19838.5,5.0,850.0,0.0,2.4978694642804666,19838.50063008795
0.19,-19830.0,5.0,850.0,0.0,2.4978694642804666,19830.000630358034
0.2,-19821.5,5.0,850.0,0.0,2.4978694642804666,19821.500630628347
0.21,-19813.0,5.0,850.0,0.0,2.4978694642804666,19813.000630898896
0.22,-19804.5,5.0,850.0,0.0,2.4978694642804666,19804.500631169674
0.23,-19796.0,5.0,850.0,0.0,2.4978694642804666,19796.000631440686
0.24,-19787.5,5.0,850.0,0.0,2.4978694642804666,19787.50063171193
0.25,-19779.0,5.0,850.0,0.0,2.4978694642804666,19779.000631983406
0.26,-19770.5,5.0,850.0,0.0,2.4978694642804666,19770.500632255116
0.27,-19762.0,5.0,850.0,0.0,2.4978694642804666,19762.000632527062
