========================================================================
  CRUISE-ONLY BATCH RUN #04
========================================================================
  cruise_altitude_m      : 26.59
  cruise_speed_mach      : 1.0131
  cruise_speed_mps       : 344.73
  sea_state              : 2
  radar_altimeter_bias_m : 1.5434
  air_temp_c             : 38.83
  termination            : reached_target
  total_steps            : 5802
========================================================================

       t_s             x_m         z_m            vx          vz      mach
------------------------------------------------------------------------
    0.0000     -19996.5527     28.1343      344.7315     -0.3981    1.0131
    0.0100     -19993.1054     28.1313      344.7315     -0.1962    1.0131
    0.0200     -19989.6581     28.1273      344.7315     -0.5921    1.0131
    0.0300     -19986.2107     28.1224      344.7315     -0.3902    1.0131
    0.0400     -19982.7634     28.1166      344.7315     -0.7718    1.0131
    0.0500     -19979.3161     28.1099      344.7315     -0.5699    1.0131
    0.0600     -19975.8688     28.1024      344.7315     -0.9379    1.0131
    0.0700     -19972.4215     28.0940      344.7315     -0.7360    1.0131
    0.0800     -19968.9742     28.0849      344.7315     -1.0911    1.0131
    0.0900     -19965.5269     28.0750      344.7315     -0.8892    1.0131
    0.1000     -19962.0795     28.0644      344.7315     -1.2320    1.0131
    0.1100     -19958.6322     28.0530      344.7314     -1.0301    1.0131
    0.1200     -19955.1849     28.0411      344.7314     -1.3613    1.0131
    0.1300     -19951.7376     28.0285      344.7314     -1.1594    1.0131
    0.1400     -19948.2903     28.0153      344.7314     -1.4797    1.0131
    0.1500     -19944.8430     28.0015      344.7314     -1.2778    1.0131
    0.1600     -19941.3957     27.9872      344.7314     -1.5876    1.0131
    0.1700     -19937.9483     27.9723      344.7314     -1.3857    1.0131
    0.1800     -19934.5010     27.9570      344.7314     -1.6857    1.0131
    0.1900     -19931.0537     27.9411      344.7314     -1.4838    1.0131
    0.2000     -19927.6064     27.9248      344.7314     -1.7745    1.0131
    0.2100     -19924.1591     27.9081      344.7314     -1.5726    1.0131
    0.2200     -19920.7118     27.8909      344.7314     -1.8545    1.0131
    0.2300     -19917.2645     27.8734      344.7314     -1.6526    1.0131
    0.2400     -19913.8171     27.8555      344.7314     -1.9263    1.0131
    0.2500     -19910.3698     27.8373      344.7314     -1.7244    1.0131
    0.2600     -19906.9225     27.8187      344.7313     -1.9902    1.0131
    0.2700     -19903.4752     27.7998      344.7313     -1.7883    1.0131
    0.2800     -19900.0279     27.7806      344.7313     -2.0467    1.0131
    0.2900     -19896.5806     27.7612      344.7313     -1.8448    1.0131
    0.3000     -19893.1333     27.7415      344.7313     -2.0962    1.0131
    0.3100     -19889.6859     27.7215      344.7313     -1.8943    1.0131
    0.3200     -19886.2386     27.7013      344.7313     -2.1392    1.0131
    0.3300     -19882.7913     27.6810      344.7313     -1.9373    1.0131
    0.3400     -19879.3440     27.6604      344.7313     -2.1760    1.0131
    0.3500     -19875.8967     27.6396      344.7312     -1.9741    1.0131
    0.3600     -19872.4494     27.6187      344.7312     -2.2071    1.0131
    0.3700     -19869.0021     27.5977      344.7312     -2.0052    1.0131
    0.3800     -19865.5548     27.5765      344.7312     -2.2327    1.0131
    0.3900     -19862.1074     27.5552      344.7312     -2.0308    1.0131
    0.4000     -19858.6601     27.5337      344.7312     -2.2532    1.0131
    0.4100     -19855.2128     27.5122      344.7312     -2.0513    1.0131
    0.4200     -19851.7655     27.4906      344.7312     -2.2690    1.0131
    0.4300     -19848.3182     27.4689      344.7311     -2.0671    1.0131
    0.4400     -19844.8709     27.4472      344.7311     -2.2802    1.0131
    0.4500     -19841.4236     27.4254      344.7311     -2.0783    1.0131
    0.4600     -19837.9763     27.4036      344.7311     -2.2873    1.0131
    0.4700     -19834.5290     27.3817      344.7311     -2.0854    1.0131
    0.4800     -19831.0816     27.3598      344.7311     -2.2905    1.0131
    0.4900     -19827.6343     27.3379      344.7311     -2.0886    1.0131
    0.5000     -19824.1870     27.3160      344.7310     -2.2901    1.0131
    0.5100     -19820.7397     27.2942      344.7310     -2.0882    1.0131
    0.5200     -19817.2924     27.2723      344.7310     -2.2862    1.0131
