========================================================================
  CRUISE-ONLY BATCH RUN #06
========================================================================
  cruise_altitude_m      : 39.87
  cruise_speed_mach      : 2.2309
  cruise_speed_mps       : 759.16
  sea_state              : 7
  radar_altimeter_bias_m : -1.1577
  air_temp_c             : -3.92
  termination            : reached_target
  total_steps            : 2635
========================================================================

       t_s             x_m         z_m            vx          vz      mach
------------------------------------------------------------------------
    0.0000     -19992.4084     38.7137      759.1593      0.2019    2.2309
    0.0100     -19984.8168     38.7146      759.1593     -0.0279    2.2309
    0.0200     -19977.2252     38.7153      759.1593      0.1740    2.2309
    0.0300     -19969.6336     38.7159      759.1593     -0.0536    2.2309
    0.0400     -19962.0420     38.7164      759.1593      0.1483    2.2309
    0.0500     -19954.4504     38.7167      759.1593     -0.0773    2.2309
    0.0600     -19946.8589     38.7170      759.1593      0.1246    2.2309
    0.0700     -19939.2673     38.7171      759.1593     -0.0991    2.2309
    0.0800     -19931.6757     38.7171      759.1593      0.1028    2.2309
    0.0900     -19924.0841     38.7170      759.1593     -0.1190    2.2309
    0.1000     -19916.4925     38.7168      759.1593      0.0829    2.2309
    0.1100     -19908.9009     38.7166      759.1593     -0.1372    2.2309
    0.1200     -19901.3093     38.7162      759.1593      0.0647    2.2309
    0.1300     -19893.7177     38.7158      759.1593     -0.1537    2.2309
    0.1400     -19886.1261     38.7152      759.1593      0.0482    2.2309
    0.1500     -19878.5345     38.7146      759.1593     -0.1687    2.2309
    0.1600     -19870.9429     38.7139      759.1593      0.0332    2.2309
    0.1700     -19863.3513     38.7132      759.1593     -0.1823    2.2309
    0.1800     -19855.7597     38.7124      759.1593      0.0196    2.2309
    0.1900     -19848.1681     38.7115      759.1593     -0.1944    2.2309
    0.2000     -19840.5766     38.7106      759.1593      0.0075    2.2309
    0.2100     -19832.9850     38.7096      759.1593     -0.2053    2.2309
    0.2200     -19825.3934     38.7085      759.1593     -0.0034    2.2309
    0.2300     -19817.8018     38.7075      759.1593     -0.2149    2.2309
    0.2400     -19810.2102     38.7063      759.1593     -0.0130    2.2309
    0.2500     -19802.6186     38.7051      759.1593     -0.2234    2.2309
    0.2600     -19795.0270     38.7039      759.1593     -0.0215    2.2309
    0.2700     -19787.4354     38.7027      759.1593     -0.2308    2.2309
    0.2800     -19779.8438     38.7014      759.1593     -0.0289    2.2309
    0.2900     -19772.2522     38.7000      759.1593     -0.2371    2.2309
    0.3000     -19764.6606     38.6987      759.1593     -0.0352    2.2309
    0.3100     -19757.0690     38.6973      759.1593     -0.2425    2.2309
    0.3200     -19749.4774     38.6959      759.1593     -0.0406    2.2309
    0.3300     -19741.8859     38.6944      759.1593     -0.2470    2.2309
    0.3400     -19734.2943     38.6930      759.1593     -0.0451    2.2309
    0.3500     -19726.7027     38.6915      759.1593     -0.2507    2.2309
    0.3600     -19719.1111     38.6900      759.1593     -0.0488    2.2309
    0.3700     -19711.5195     38.6885      759.1593     -0.2535    2.2309
    0.3800     -19703.9279     38.6869      759.1593     -0.0516    2.2309
    0.3900     -19696.3363     38.6854      759.1593     -0.2557    2.2309
    0.4000     -19688.7447     38.6839      759.1593     -0.0538    2.2309
    0.4100     -19681.1531     38.6823      759.1593     -0.2571    2.2309
    0.4200     -19673.5615     38.6807      759.1593     -0.0552    2.2309
    0.4300     -19665.9699     38.6792      759.1593     -0.2579    2.2309
    0.4400     -19658.3783     38.6776      759.1593     -0.0560    2.2309
    0.4500     -19650.7867     38.6760      759.1593     -0.2581    2.2309
    0.4600     -19643.1952     38.6745      759.1593     -0.0562    2.2309
    0.4700     -19635.6036     38.6729      759.1593     -0.2577    2.2309
    0.4800     -19628.0120     38.6713      759.1593     -0.0558    2.2309
    0.4900     -19620.4204     38.6698      759.1593     -0.2568    2.2309
    0.5000     -19612.8288     38.6682      759.1593     -0.0549    2.2309
    0.5100     -19605.2372     38.6667      759.1593     -0.2555    2.2309
    0.5200     -19597.6456     38.6651      759.1593     -0.0536    2.2309
    0.5300     -19590.0540     38.6636      759.1593     -0.2537    2.2309
    0.5400     -19582.4624     38.6620      759.1593     -0.0518    2.2309
    0.5500     -19574.8708     38.6605      759.1593     -0.2514    2.2309
    0.5600     -19567.2792     38.6590      759.1593     -0.0495    2.2309
    0.5700     -19559.6876     38.6575      759.1593     -0.2488    2.2309
    0.5800     -19552.0960     38.6561      759.1593     -0.0469    2.2309
    0.5900     -19544.5044     38.6546      759.1593     -0.2459    2.2309
    0.6000     -19536.9129     38.6531      759.1593     -0.0440    2.2309
    0.6100     -19529.3213     38.6517      759.1593     -0.2426    2.2309
    0.6200     -19521.7297     38.6503      759.1593     -0.0407    2.2309
    0.6300     -19514.1381     38.6489      759.1593     -0.2391    2.2309
    0.6400     -19506.5465     38.6475      759.1593     -0.0372    2.2309
    0.6500     -19498.9549     38.6462      759.1593     -0.2352    2.2309
    0.6600     -19491.3633     38.6448      759.1593     -0.0333    2.2309
    0.6700     -19483.7717     38.6435      759.1593     -0.2312    2.2309
    0.6800     -19476.1801     38.6422      759.1593     -0.0293    2.2309
    0.6900     -19468.5885     38.6409      759.1593     -0.2269    2.2309
    0.7000     -19460.9969     38.6396      759.1593     -0.0250    2.2309
    0.7100     -19453.4053     38.6384      759.1593     -0.2224    2.2309
    0.7200     -19445.8137     38.6372      759.1593     -0.0205    2.2309
    0.7300     -19438.2222     38.6360      759.1593     -0.2178    2.2309
    0.7400     -19430.6306     38.6348      759.1593     -0.0159    2.2309
    0.7500     -19423.0390     38.6337      759.1593     -0.2130    2.2309
