========================================================================
  CRUISE-ONLY BATCH RUN #09
========================================================================
  cruise_altitude_m      : 35.58
  cruise_speed_mach      : 1.8250
  cruise_speed_mps       : 621.01
  sea_state              : 4
  radar_altimeter_bias_m : -1.7511
  air_temp_c             : 44.83
  termination            : reached_target
  total_steps            : 3221
========================================================================

       t_s             x_m         z_m            vx          vz      mach
------------------------------------------------------------------------
    0.0000     -19993.7899     33.8301      621.0139      0.2019    1.8250
    0.0100     -19987.5797     33.8312      621.0139      0.0150    1.8250
    0.0200     -19981.3696     33.8323      621.0139      0.2169    1.8250
    0.0300     -19975.1594     33.8336      621.0139      0.0291    1.8250
    0.0400     -19968.9493     33.8349      621.0139      0.2310    1.8250
    0.0500     -19962.7392     33.8362      621.0139      0.0425    1.8250
    0.0600     -19956.5290     33.8377      621.0139      0.2444    1.8250
    0.0700     -19950.3189     33.8392      621.0139      0.0550    1.8250
    0.0800     -19944.1087     33.8407      621.0139      0.2569    1.8250
    0.0900     -19937.8986     33.8423      621.0139      0.0668    1.8250
    0.1000     -19931.6885     33.8440      621.0139      0.2687    1.8250
    0.1100     -19925.4783     33.8458      621.0139      0.0779    1.8250
    0.1200     -19919.2682     33.8475      621.0139      0.2798    1.8250
    0.1300     -19913.0581     33.8494      621.0139      0.0884    1.8250
    0.1400     -19906.8479     33.8513      621.0139      0.2903    1.8250
    0.1500     -19900.6378     33.8532      621.0139      0.0982    1.8250
    0.1600     -19894.4276     33.8552      621.0139      0.3001    1.8250
    0.1700     -19888.2175     33.8573      621.0139      0.1074    1.8250
    0.1800     -19882.0074     33.8593      621.0139      0.3093    1.8250
    0.1900     -19875.7972     33.8615      621.0139      0.1160    1.8250
    0.2000     -19869.5871     33.8636      621.0139      0.3179    1.8250
    0.2100     -19863.3769     33.8658      621.0139      0.1240    1.8250
    0.2200     -19857.1668     33.8681      621.0139      0.3259    1.8250
    0.2300     -19850.9567     33.8704      621.0139      0.1315    1.8250
    0.2400     -19844.7465     33.8727      621.0139      0.3334    1.8250
    0.2500     -19838.5364     33.8751      621.0139      0.1385    1.8250
    0.2600     -19832.3262     33.8775      621.0139      0.3404    1.8250
    0.2700     -19826.1161     33.8799      621.0139      0.1450    1.8250
    0.2800     -19819.9060     33.8823      621.0139      0.3469    1.8250
    0.2900     -19813.6958     33.8848      621.0139      0.1511    1.8250
    0.3000     -19807.4857     33.8874      621.0139      0.3530    1.8250
    0.3100     -19801.2756     33.8899      621.0139      0.1567    1.8250
    0.3200     -19795.0654     33.8925      621.0139      0.3586    1.8250
    0.3300     -19788.8553     33.8951      621.0139      0.1619    1.8250
    0.3400     -19782.6451     33.8977      621.0139      0.3638    1.8250
    0.3500     -19776.4350     33.9004      621.0139      0.1667    1.8250
    0.3600     -19770.2249     33.9030      621.0139      0.3686    1.8250
    0.3700     -19764.0147     33.9057      621.0139      0.1711    1.8250
    0.3800     -19757.8046     33.9085      621.0139      0.3730    1.8250
    0.3900     -19751.5944     33.9112      621.0139      0.1751    1.8250
    0.4000     -19745.3843     33.9140      621.0139      0.3770    1.8250
    0.4100     -19739.1742     33.9167      621.0139      0.1788    1.8250
    0.4200     -19732.9640     33.9195      621.0139      0.3807    1.8250
    0.4300     -19726.7539     33.9223      621.0139      0.1822    1.8250
    0.4400     -19720.5437     33.9252      621.0139      0.3841    1.8250
    0.4500     -19714.3336     33.9280      621.0139      0.1853    1.8250
    0.4600     -19708.1235     33.9309      621.0139      0.3872    1.8250
    0.4700     -19701.9133     33.9338      621.0139      0.1881    1.8250
    0.4800     -19695.7032     33.9367      621.0139      0.3900    1.8250
    0.4900     -19689.4931     33.9396      621.0139      0.1906    1.8250
    0.5000     -19683.2829     33.9425      621.0139      0.3925    1.8250
    0.5100     -19677.0728     33.9454      621.0139      0.1928    1.8250
    0.5200     -19670.8626     33.9483      621.0139      0.3947    1.8250
    0.5300     -19664.6525     33.9513      621.0139      0.1948    1.8250
    0.5400     -19658.4424     33.9542      621.0139      0.3967    1.8250
    0.5500     -19652.2322     33.9572      621.0139      0.1965    1.8250
    0.5600     -19646.0221     33.9602      621.0139      0.3984    1.8250
    0.5700     -19639.8119     33.9632      621.0139      0.1981    1.8250
    0.5800     -19633.6018     33.9662      621.0139      0.4000    1.8250
    0.5900     -19627.3917     33.9692      621.0139      0.1994    1.8250
    0.6000     -19621.1815     33.9722      621.0139      0.4013    1.8250
    0.6100     -19614.9714     33.9752      621.0139      0.2005    1.8250
    0.6200     -19608.7612     33.9782      621.0139      0.4024    1.8250
    0.6300     -19602.5511     33.9812      621.0139      0.2014    1.8250
    0.6400     -19596.3410     33.9842      621.0139      0.4033    1.8250
    0.6500     -19590.1308     33.9873      621.0139      0.2022    1.8250
    0.6600     -19583.9207     33.9903      621.0139      0.4041    1.8250
    0.6700     -19577.7105     33.9933      621.0139      0.2028    1.8250
    0.6800     -19571.5004     33.9964      621.0139      0.4047    1.8250
    0.6900     -19565.2903     33.9994      621.0139      0.2032    1.8250
    0.7000     -19559.0801     34.0024      621.0139      0.4051    1.8250
    0.7100     -19552.8700     34.0055      621.0139      0.2034    1.8250
    0.7200     -19546.6599     34.0085      621.0139      0.4053    1.8250
    0.7300     -19540.4497     34.0116      621.0139      0.2036    1.8250
    0.7400     -19534.2396     34.0146      621.0139      0.4055    1.8250
    0.7500     -19528.0294     34.0177      621.0139      0.2036    1.8250
    0.7600     -19521.8193     34.0207      621.0139      0.4055    1.8250
    0.7700     -19515.6092     34.0237      621.0139      0.2034    1.8250
    0.7800     -19509.3990     34.0268      621.0139      0.4053    1.8250
    0.7900     -19503.1889     34.0298      621.0139      0.2032    1.8250
    0.8000     -19496.9787     34.0329      621.0139      0.4051    1.8250
    0.8100     -19490.7686     34.0359      621.0139      0.2028    1.8250
    0.8200     -19484.5585     34.0390      621.0139      0.4047    1.8250
    0.8300     -19478.3483     34.0420      621.0139      0.2024    1.8250
    0.8400     -19472.1382     34.0450      621.0139      0.4043    1.8250
    0.8500     -19465.9280     34.0480      621.0139      0.2018    1.8250
    0.8600     -19459.7179     34.0511      621.0139      0.4037    1.8250
    0.8700     -19453.5078     34.0541      621.0139      0.2012    1.8250
