========================================================================
  CRUISE-ONLY BATCH RUN #17
========================================================================
  cruise_altitude_m      : 17.13
  cruise_speed_mach      : 2.9986
  cruise_speed_mps       : 1020.38
  sea_state              : 6
  radar_altimeter_bias_m : 0.0433
  air_temp_c             : -4.35
  termination            : reached_target
  total_steps            : 1961
========================================================================

       t_s             x_m         z_m            vx          vz      mach
------------------------------------------------------------------------
    0.0000     -19989.7962     17.1688     1020.3832     -0.1532    2.9986
    0.0100     -19979.5923     17.1675     1020.3832     -0.0910    2.9986
    0.0200     -19969.3885     17.1658     1020.3832     -0.2473    2.9986
    0.0300     -19959.1847     17.1637     1020.3832     -0.1751    2.9986
    0.0400     -19948.9808     17.1612     1020.3832     -0.3350    2.9986
    0.0500     -19938.7770     17.1582     1020.3832     -0.2525    2.9986
    0.0600     -19928.5732     17.1549     1020.3832     -0.4167    2.9986
    0.0700     -19918.3693     17.1512     1020.3832     -0.3235    2.9986
    0.0800     -19908.1655     17.1471     1020.3832     -0.4925    2.9986
    0.0900     -19897.9617     17.1427     1020.3832     -0.3885    2.9986
    0.1000     -19887.7578     17.1380     1020.3832     -0.5630    2.9986
    0.1100     -19877.5540     17.1329     1020.3832     -0.4476    2.9986
    0.1200     -19867.3502     17.1275     1020.3832     -0.6283    2.9986
    0.1300     -19857.1463     17.1219     1020.3832     -0.5012    2.9986
    0.1400     -19846.9425     17.1159     1020.3832     -0.6888    2.9986
    0.1500     -19836.7387     17.1097     1020.3832     -0.5496    2.9986
    0.1600     -19826.5348     17.1033     1020.3832     -0.7447    2.9986
    0.1700     -19816.3310     17.0966     1020.3832     -0.5929    2.9986
    0.1800     -19806.1272     17.0896     1020.3832     -0.7963    2.9986
    0.1900     -19795.9234     17.0825     1020.3832     -0.6315    2.9986
    0.2000     -19785.7195     17.0751     1020.3832     -0.8440    2.9986
    0.2100     -19775.5157     17.0676     1020.3832     -0.6654    2.9986
    0.2200     -19765.3119     17.0598     1020.3832     -0.8878    2.9986
    0.2300     -19755.1080     17.0519     1020.3832     -0.6950    2.9986
    0.2400     -19744.9042     17.0438     1020.3832     -0.9282    2.9986
    0.2500     -19734.7004     17.0355     1020.3832     -0.7263    2.9986
    0.2600     -19724.4965     17.0270     1020.3832     -0.9648    2.9986
    0.2700     -19714.2927     17.0184     1020.3832     -0.7629    2.9986
    0.2800     -19704.0889     17.0096     1020.3832     -0.9974    2.9986
    0.2900     -19693.8850     17.0006     1020.3832     -0.7955    2.9986
    0.3000     -19683.6812     16.9915     1020.3832     -1.0262    2.9986
    0.3100     -19673.4774     16.9823     1020.3832     -0.8243    2.9986
    0.3200     -19663.2735     16.9729     1020.3832     -1.0513    2.9986
    0.3300     -19653.0697     16.9634     1020.3832     -0.8494    2.9986
    0.3400     -19642.8659     16.9538     1020.3832     -1.0731    2.9986
    0.3500     -19632.6620     16.9441     1020.3832     -0.8712    2.9986
    0.3600     -19622.4582     16.9342     1020.3832     -1.0916    2.9986
    0.3700     -19612.2544     16.9243     1020.3832     -0.8897    2.9986
    0.3800     -19602.0505     16.9144     1020.3832     -1.1072    2.9986
    0.3900     -19591.8467     16.9043     1020.3832     -0.9053    2.9986
    0.4000     -19581.6429     16.8942     1020.3832     -1.1199    2.9986
    0.4100     -19571.4390     16.8840     1020.3832     -0.9180    2.9986
    0.4200     -19561.2352     16.8737     1020.3832     -1.1300    2.9986
    0.4300     -19551.0314     16.8634     1020.3832     -0.9281    2.9986
    0.4400     -19540.8275     16.8531     1020.3832     -1.1376    2.9986
    0.4500     -19530.6237     16.8428     1020.3832     -0.9357    2.9986
    0.4600     -19520.4199     16.8324     1020.3832     -1.1430    2.9986
    0.4700     -19510.2160     16.8219     1020.3832     -0.9411    2.9986
    0.4800     -19500.0122     16.8115     1020.3832     -1.1461    2.9986
    0.4900     -19489.8084     16.8011     1020.3832     -0.9442    2.9986
    0.5000     -19479.6046     16.7906     1020.3832     -1.1472    2.9986
    0.5100     -19469.4007     16.7801     1020.3832     -0.9453    2.9986
    0.5200     -19459.1969     16.7697     1020.3832     -1.1465    2.9986
    0.5300     -19448.9931     16.7592     1020.3832     -0.9446    2.9986
    0.5400     -19438.7892     16.7488     1020.3832     -1.1440    2.9986
    0.5500     -19428.5854     16.7383     1020.3832     -0.9421    2.9986
    0.5600     -19418.3816     16.7279     1020.3832     -1.1399    2.9986
    0.5700     -19408.1777     16.7175     1020.3832     -0.9380    2.9986
    0.5800     -19397.9739     16.7072     1020.3832     -1.1343    2.9986
    0.5900     -19387.7701     16.6968     1020.3832     -0.9324    2.9986
    0.6000     -19377.5662     16.6866     1020.3832     -1.1272    2.9986
    0.6100     -19367.3624     16.6763     1020.3832     -0.9253    2.9986
    0.6200     -19357.1586     16.6661     1020.3832     -1.1189    2.9986
    0.6300     -19346.9547     16.6559     1020.3832     -0.9170    2.9986
    0.6400     -19336.7509     16.6458     1020.3832     -1.1095    2.9986
    0.6500     -19326.5471     16.6357     1020.3832     -0.9076    2.9986
    0.6600     -19316.3432     16.6256     1020.3832     -1.0989    2.9986
    0.6700     -19306.1394     16.6157     1020.3832     -0.8970    2.9986
    0.6800     -19295.9356     16.6057     1020.3832     -1.0873    2.9986
    0.6900     -19285.7317     16.5959     1020.3832     -0.8854    2.9986
    0.7000     -19275.5279     16.5861     1020.3832     -1.0748    2.9986
    0.7100     -19265.3241     16.5763     1020.3832     -0.8729    2.9986
    0.7200     -19255.1202     16.5667     1020.3832     -1.0615    2.9986
    0.7300     -19244.9164     16.5571     1020.3832     -0.8596    2.9986
    0.7400     -19234.7126     16.5475     1020.3832     -1.0474    2.9986
    0.7500     -19224.5088     16.5381     1020.3832     -0.8455    2.9986
    0.7600     -19214.3049     16.5287     1020.3832     -1.0326    2.9986
    0.7700     -19204.1011     16.5193     1020.3832     -0.8307    2.9986
    0.7800     -19193.8973     16.5101     1020.3832     -1.0172    2.9986
    0.7900     -19183.6934     16.5009     1020.3832     -0.8153    2.9986
    0.8000     -19173.4896     16.4919     1020.3832     -1.0013    2.9986
    0.8100     -19163.2858     16.4829     1020.3832     -0.7994    2.9986
    0.8200     -19153.0819     16.4739     1020.3832     -0.9849    2.9986
    0.8300     -19142.8781     16.4651     1020.3832     -0.7830    2.9986
    0.8400     -19132.6743     16.4563     1020.3832     -0.9680    2.9986
    0.8500     -19122.4704     16.4477     1020.3832     -0.7661    2.9986
    0.8600     -19112.2666     16.4391     1020.3832     -0.9508    2.9986
    0.8700     -19102.0628     16.4306     1020.3832     -0.7489    2.9986
    0.8800     -19091.8589     16.4222     1020.3832     -0.9333    2.9986
    0.8900     -19081.6551     16.4139     1020.3832     -0.7314    2.9986
    0.9000     -19071.4513     16.4056     1020.3832     -0.9154    2.9986
    0.9100     -19061.2474     16.3975     1020.3832     -0.7135    2.9986
    0.9200     -19051.0436     16.3894     1020.3832     -0.8974    2.9986
    0.9300     -19040.8398     16.3815     1020.3832     -0.6955    2.9986
    0.9400     -19030.6359     16.3736     1020.3832     -0.8791    2.9986
    0.9500     -19020.4321     16.3658     1020.3832     -0.6772    2.9986
    0.9600     -19010.2283     16.3581     1020.3832     -0.8607    2.9986
    0.9700     -19000.0245     16.3505     1020.3832     -0.6588    2.9986
    0.9800     -18989.8206     16.3430     1020.3832     -0.8422    2.9986
    0.9900     -18979.6168     16.3356     1020.3832     -0.6403    2.9986
    1.0000     -18969.4130     16.3283     1020.3832     -0.8236    2.9986
    1.0100     -18959.2091     16.3211     1020.3832     -0.6217    2.9986
    1.0200     -18949.0053     16.3139     1020.3832     -0.8050    2.9986
    1.0300     -18938.8015     16.3069     1020.3832     -0.6031    2.9986
    1.0400     -18928.5976     16.2999     1020.3832     -0.7863    2.9986
    1.0500     -18918.3938     16.2931     1020.3832     -0.5844    2.9986
